"mukey","cokey","comppct_r","compname"
461645,14398304,1,"Unnamed"
461645,14398305,9,"Rock outcrop"
461645,14398306,45,"Henneke"
461645,14398307,35,"Okiota"
461645,14398308,5,"Montara"
461645,14398309,5,"Dubakella"
461662,14398297,40,"Henneke"
461662,14398298,30,"Montara"
461662,14398299,16,"Rock outcrop"
461662,14398300,5,"Dubakella"
461662,14398301,3,"Maxwell"
461662,14398302,2,"Millsholm"
461662,14398303,4,"Okiota"
461544,14398291,90,"Capay"
461544,14398292,2,"Unnamed"
461544,14398293,1,"Capay"
461544,14398294,1,"Westfan"
461544,14398295,5,"Capay"
461544,14398296,1,"Willows"
461611,14398286,45,"Boar"
461611,14398287,40,"Sleeper"
461611,14398288,10,"Millsholm"
461611,14398289,4,"Rock outcrop"
461611,14398290,1,"Unnamed"
461660,14398281,40,"Sleeper"
461660,14398282,10,"Millsholm"
461660,14398283,45,"Boar"
461660,14398284,4,"Rock outcrop"
461660,14398285,1,"Unnamed"
461665,14398275,45,"Skyhigh"
461665,14398276,20,"Sleeper"
461665,14398277,20,"Millsholm"
461665,14398278,10,"Boar"
461665,14398279,4,"Rock outcrop"
461665,14398280,1,"Unnamed"
461559,14398271,90,"Clear Lake"
461559,14398272,6,"Willows"
461559,14398273,2,"Unnamed"
461559,14398274,2,"Clear Lake"
461639,14398267,3,"Henneke"
461639,14398268,65,"Stonyford"
461639,14398269,30,"Guenoc"
461639,14398270,2,"rock outcrop"
461580,14398263,7,"Scribner"
461580,14398264,1,"Unnamed"
461580,14398265,90,"Vina"
461580,14398266,2,"Tujunga"
461609,14398256,50,"Millsholm"
461609,14398257,5,"Contra Costa"
461609,14398258,35,"Saltcanyon"
461609,14398259,1,"Unnamed"
461609,14398260,3,"Hillgate"
461609,14398261,2,"Capay"
461609,14398262,4,"Westfan"
461661,14398251,4,"Contra Costa"
461661,14398252,50,"Buttes"
461661,14398253,10,"Rock outcrop"
461661,14398254,35,"Millsholm"
461661,14398255,1,"Unnamed"
461631,14398243,35,"Sehorn"
461631,14398244,30,"Millsholm"
461631,14398245,6,"Altamont"
461631,14398246,5,"Contra Costa"
461631,14398247,20,"Rock outcrop"
461631,14398248,1,"Capay"
461631,14398249,1,"Unnamed"
461631,14398250,2,"Saltcanyon"
461630,14398236,5,"Sehorn"
461630,14398237,60,"Millsholm"
461630,14398238,3,"Altamont"
461630,14398239,25,"Contra Costa"
461630,14398240,2,"Capay"
461630,14398241,1,"Unnamed"
461630,14398242,4,"Saltcanyon"
461627,14398232,10,"Contra Costa"
461627,14398233,85,"Millsholm"
461627,14398234,4,"Rock outcrop"
461627,14398235,1,"Unnamed"
461620,14398226,10,"Maymen"
461620,14398227,45,"Skyhigh"
461620,14398228,30,"Millsholm"
461620,14398229,4,"Rock outcrop"
461620,14398230,1,"Unnamed"
461620,14398231,10,"Etsel"
461600,14398217,35,"Altamont"
461600,14398218,45,"Sehorn"
461600,14398219,5,"Contra Costa"
461600,14398220,1,"Ayar"
461600,14398221,1,"Capay"
461600,14398222,4,"Balcom"
461600,14398223,5,"Millsholm"
461600,14398224,3,"Rock outcrop"
461600,14398225,1,"Unnamed"
461634,14398212,10,"Sehorn"
461634,14398213,70,"Millsholm"
461634,14398214,4,"Rock outcrop"
461634,14398215,15,"Contra Costa"
461634,14398216,1,"Unnamed"
461622,14398208,85,"Contra Costa"
461622,14398209,10,"Millsholm"
461622,14398210,4,"Rock outcrop"
461622,14398211,1,"Unnamed"
461608,14398202,55,"Contra Costa"
461608,14398203,35,"Altamont"
461608,14398204,2,"Capay"
461608,14398205,4,"Millsholm"
461608,14398206,3,"Rock outcrop"
461608,14398207,1,"Unnamed"
461666,14398195,40,"Skyhigh"
461666,14398196,30,"Sleeper"
461666,14398197,15,"Millsholm"
461666,14398198,5,"Bressa"
461666,14398199,5,"Pomo"
461666,14398200,3,"Unnamed"
461666,14398201,2,"Unnamed"
461590,14398191,90,"Clear Lake"
461590,14398192,1,"Riverwash"
461590,14398193,7,"Capay"
461590,14398194,2,"Altamont"
461556,14398188,5,"Corbiere"
461556,14398189,5,"Capay"
461556,14398190,90,"Clear Lake"
461670,14398184,80,"Holillipah"
461670,14398185,7,"Columbia"
461670,14398186,7,"Shanghai"
461670,14398187,6,"Unnamed"
2766127,14398177,2,"Altamont"
2766127,14398178,90,"Hillgate"
2766127,14398179,3,"Capay"
2766127,14398180,1,"Arand"
2766127,14398181,1,"Unnamed"
2766127,14398182,2,"Ayar"
